
 num     #instances         #bytes  class name
----------------------------------------------
   1:         15828       10513216  [B
   2:         49301        5675352  [C
   3:          3713        3162744  [I
   4:         29371         704904  java.lang.String
   5:         12372         692832  jdk.internal.org.objectweb.asm.Item
   6:           493         404240  [Ljdk.internal.org.objectweb.asm.Item;
   7:          5986         311672  [Ljava.lang.Object;
   8:          1880         208192  java.lang.Class
   9:           826         185024  jdk.internal.org.objectweb.asm.MethodWriter
  10:          6019         144456  java.lang.StringBuilder
  11:          5576         135896  [Ljava.lang.Class;
  12:          3334         133360  java.lang.invoke.MethodType
  13:          3334         106688  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  14:          1654          92624  java.lang.invoke.MemberName
  15:          1094          83712  [S
  16:          2424          77568  java.util.concurrent.ConcurrentHashMap$Node
  17:          2179          69728  java.util.HashMap$Node
  18:           380          63840  jdk.internal.org.objectweb.asm.ClassWriter
  19:           966          61824  jdk.internal.org.objectweb.asm.Label
  20:          2186          52464  jdk.internal.org.objectweb.asm.ByteVector
  21:           378          50912  [Ljava.util.HashMap$Node;
  22:           478          42064  java.lang.reflect.Method
  23:           380          36480  java.util.jar.JarFile$JarFileEntry
  24:           535          34240  java.net.URL
  25:           600          33600  jdk.internal.org.objectweb.asm.AnnotationWriter
  26:          1390          33360  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
  27:           829          33160  java.lang.ref.Finalizer
  28:          1068          32576  [Ljava.lang.String;
  29:           791          31640  java.util.TreeMap$Entry
  30:            65          31600  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  31:           384          30720  java.lang.reflect.Constructor
  32:           380          30400  java.util.zip.ZipEntry
  33:           267          27768  java.lang.invoke.InnerClassLambdaMetafactory
  34:          1150          27600  java.lang.StringBuffer
  35:           392          21952  java.util.zip.ZipFile$ZipFileInputStream
  36:           367          20552  java.util.zip.ZipFile$ZipFileInflaterInputStream
  37:          1168          18688  java.lang.Object
  38:          1130          18080  java.lang.Short
  39:           368          17664  java.util.HashMap
  40:           548          17536  jdk.internal.org.objectweb.asm.Type
  41:           436          17440  java.lang.ref.SoftReference
  42:           715          17160  java.util.ArrayList
  43:           703          16872  java.net.URLClassLoader$1
  44:           397          15880  java.util.WeakHashMap$Entry
  45:           492          15744  java.util.AbstractList$Itr
  46:           466          14912  java.util.ArrayList$Itr
  47:           371          14840  java.util.LinkedHashMap$Entry
  48:           228          14592  jdk.internal.org.objectweb.asm.FieldWriter
  49:           601          14424  java.lang.invoke.MethodHandles$Lookup
  50:           350          14000  java.lang.ClassNotFoundException
  51:           193          13896  java.lang.reflect.Field
  52:           240          13440  java.util.LinkedHashMap
  53:           280          13440  jdk.internal.org.objectweb.asm.Frame
  54:           542          13008  java.util.Collections$UnmodifiableCollection$1
  55:           404          12928  java.io.File
  56:           524          12576  java.util.Collections$UnmodifiableRandomAccessList
  57:           277          12304  [Ljava.lang.invoke.LambdaForm$Name;
  58:           509          12216  java.util.Arrays$ArrayList
  59:           377          12064  java.lang.invoke.DirectMethodHandle
  60:           360          11520  java.security.CodeSource
  61:           354          11328  sun.misc.URLClassPath$JarLoader$2
  62:           188          10528  java.lang.Class$ReflectionData
  63:           187          10472  java.util.stream.ReferencePipeline$Head
  64:           323          10336  java.lang.invoke.LambdaForm$Name
  65:           264           8448  java.util.Hashtable$Entry
  66:           136           7616  java.lang.invoke.LambdaFormEditor$Transform
  67:           120           7200  [Ljava.lang.ref.SoftReference;
  68:           112           7168  java.util.stream.ReferencePipeline$2
  69:           168           7048  [Ljava.lang.reflect.Method;
  70:           110           7040  java.lang.invoke.InvokerBytecodeGenerator
  71:           436           6976  sun.misc.ProxyGenerator$ConstantPool$ValueEntry
  72:           267           6408  java.lang.invoke.ConstantCallSite
  73:           267           6408  java.lang.invoke.InfoFromMemberName
  74:           267           6408  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator
  75:           265           6360  [Ljava.lang.reflect.Constructor;
  76:            99           6336  java.util.stream.ReferencePipeline$3
  77:           256           6144  java.lang.Long
  78:           172           5744  [Ljava.lang.annotation.Annotation;
  79:           354           5664  sun.net.www.ParseUtil
  80:           123           5624  [Ljava.lang.invoke.LambdaForm$BasicType;
  81:           348           5568  java.lang.Integer
  82:           172           5504  java.util.LinkedHashMap$LinkedValueIterator
  83:           113           5424  java.lang.invoke.LambdaForm
  84:           135           5400  java.util.HashMap$ValueIterator
  85:           111           5328  java.nio.HeapByteBuffer
  86:           130           5200  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
  87:           102           4896  java.nio.HeapCharBuffer
  88:            42           4880  [Ljava.util.Hashtable$Entry;
  89:           201           4824  java.util.jar.Attributes$Name
  90:           141           4784  [Ljdk.internal.org.objectweb.asm.Type;
  91:           197           4728  sun.reflect.generics.factory.CoreReflectionFactory
  92:           197           4728  sun.reflect.generics.parser.SignatureParser
  93:           197           4728  sun.reflect.generics.scope.ClassScope
  94:           197           4728  sun.reflect.generics.tree.SimpleClassTypeSignature
  95:           197           4728  sun.reflect.generics.visitor.Reifier
  96:           105           4552  [[C
  97:           142           4544  java.util.LinkedHashMap$LinkedEntryIterator
  98:           107           4280  java.math.BigInteger
  99:           133           4256  java.util.LinkedHashMap$LinkedKeyIterator
 100:           132           4224  java.lang.invoke.BoundMethodHandle$Species_L
 101:           130           4160  java.lang.invoke.SimpleMethodHandle
 102:            11           4136  java.lang.Thread
 103:           256           4096  java.lang.Byte
 104:           126           4032  java.util.stream.Collectors$CollectorImpl
 105:            69           3864  java.lang.invoke.MethodTypeForm
 106:           111           3552  java.util.stream.ReduceOps$3
 107:           111           3552  java.util.stream.ReduceOps$3ReducingSink
 108:           143           3432  sun.reflect.NativeConstructorAccessorImpl
 109:           138           3312  java.lang.invoke.LambdaForm$NamedFunction
 110:            59           3304  sun.misc.URLClassPath$JarLoader
 111:           197           3152  [Lsun.reflect.generics.tree.TypeArgument;
 112:           197           3152  sun.reflect.generics.tree.ClassTypeSignature
 113:            98           3136  java.lang.reflect.Proxy$Key1
 114:           130           3120  sun.misc.ProxyGenerator$ExceptionTableEntry
 115:            97           3104  java.util.ArrayList$ArrayListSpliterator
 116:            47           3008  java.util.concurrent.ConcurrentHashMap
 117:            29           2928  [Ljava.lang.invoke.MethodHandle;
 118:           120           2880  java.net.Parts
 119:            51           2856  java.lang.Package
 120:           117           2808  java.lang.invoke.InnerClassLambdaMetafactory$1
 121:            34           2720  [Ljava.util.WeakHashMap$Entry;
 122:            56           2688  java.util.logging.LogManager$LoggerWeakRef
 123:           112           2688  java.util.stream.ReferencePipeline$2$1
 124:            54           2592  sun.misc.ProxyGenerator$MethodInfo
 125:            11           2480  [Z
 126:           103           2472  java.io.ExpiringCache$Entry
 127:            99           2376  java.util.stream.ReferencePipeline$3$1
 128:            98           2352  sun.reflect.annotation.AnnotationInvocationHandler
 129:            98           2352  sun.reflect.annotation.AnnotationParser$1
 130:           143           2288  sun.reflect.DelegatingConstructorAccessorImpl
 131:            70           2240  java.io.DataOutputStream
 132:            40           2240  sun.nio.cs.UTF_8$Encoder
 133:            20           2080  sun.net.www.protocol.file.FileURLConnection
 134:            43           2064  sun.util.locale.LocaleObjectCache$CacheEntry
 135:           128           2048  java.lang.Character
 136:           127           2032  java.lang.invoke.LambdaFormEditor
 137:            83           1992  java.lang.Class$MethodArray
 138:            27           1944  java.util.logging.Logger
 139:           119           1904  java.util.HashMap$Values
 140:            58           1856  java.lang.invoke.DirectMethodHandle$Special
 141:            29           1856  java.util.jar.JarFile
 142:           114           1824  java.util.Optional
 143:            52           1664  java.util.logging.LogManager$LogNode
 144:            34           1632  java.util.WeakHashMap
 145:            28           1552  [J
 146:            97           1552  java.util.LinkedHashSet
 147:            38           1520  sun.misc.ProxyGenerator$ProxyMethod
 148:            63           1512  java.io.ByteArrayOutputStream
 149:            61           1464  sun.misc.URLClassPath$3
 150:            20           1440  java.util.regex.Pattern
 151:            44           1408  java.lang.ref.ReferenceQueue
 152:            22           1408  java.util.regex.Matcher
 153:            35           1400  sun.nio.cs.UTF_8$Decoder
 154:            87           1392  java.util.Collections$UnmodifiableSet
 155:            27           1296  java.util.stream.StreamSpliterators$WrappingSpliterator
 156:             4           1288  [[Ljava.lang.Object;
 157:            39           1280  [Ljava.math.BigInteger;
 158:            32           1280  java.io.ObjectStreamField
 159:            39           1248  java.util.Spliterators$ArraySpliterator
 160:            26           1248  java.util.zip.Inflater
 161:            76           1216  java.util.HashSet
 162:            38           1216  sun.misc.ProxyGenerator$FieldInfo
 163:            74           1184  java.util.LinkedHashMap$LinkedKeySet
 164:            29           1160  java.math.BigDecimal
 165:            20           1120  [Ljava.util.regex.Pattern$GroupHead;
 166:            28           1120  java.util.ArrayList$SubList
 167:            28           1120  java.util.ArrayList$SubList$1
 168:            21           1096  [Lsun.invoke.util.Wrapper;
 169:            24           1088  [Ljava.lang.reflect.Field;
 170:            27           1080  sun.util.locale.BaseLocale$Key
 171:             1           1040  [Ljava.lang.Byte;
 172:             1           1040  [Ljava.lang.Integer;
 173:             1           1040  [Ljava.lang.Long;
 174:             1           1040  [Ljava.lang.Short;
 175:            31            992  java.util.zip.ZipCoder
 176:            24            960  java.security.ProtectionDomain
 177:            15            960  java.util.stream.SortedOps$OfRef
 178:            39            936  java.util.ArrayDeque
 179:            29            928  java.lang.ref.WeakReference
 180:            29            928  java.util.concurrent.locks.ReentrantLock$NonfairSync
 181:            29            928  java.util.logging.LogManager$LoggerContext$1
 182:            28            896  java.util.concurrent.ConcurrentHashMap$ForwardingNode
 183:            27            864  com.intellij.rt.debugger.agent.CaptureAgent$InstrumentPoint
 184:            21            840  java.util.HashMap$EntryIterator
 185:            33            792  sun.security.action.GetPropertyAction
 186:            16            768  java.util.Hashtable
 187:            19            760  java.util.Spliterators$IteratorSpliterator
 188:            31            744  sun.misc.FileURLMapper
 189:            46            736  java.lang.ref.ReferenceQueue$Lock
 190:            18            720  java.lang.invoke.DirectMethodHandle$Interface
 191:            18            720  java.security.AccessControlContext
 192:            22            704  java.lang.reflect.WeakCache$CacheKey
 193:            22            704  java.util.concurrent.ConcurrentHashMap$ReservationNode
 194:            21            672  java.util.Locale
 195:            12            672  java.util.ResourceBundle$CacheKey
 196:            28            672  java.util.concurrent.CopyOnWriteArrayList
 197:            21            672  sun.util.locale.BaseLocale
 198:            27            648  java.util.logging.LogManager$5
 199:            20            640  java.util.Vector
 200:             3            624  [Ljava.lang.invoke.LambdaForm;
 201:            26            624  java.util.zip.ZStreamRef
 202:            26            624  org.junit.platform.commons.logging.LoggerFactory$DelegatingLogger
 203:            19            608  java.util.regex.Pattern$Curly
 204:            25            600  java.lang.RuntimePermission
 205:            25            600  java.util.Locale$LocaleKey
 206:            21            584  [Ljava.lang.annotation.ElementType;
 207:            36            576  org.junit.platform.engine.TestDescriptor$$Lambda$113/1684792003
 208:             4            576  sun.reflect.MethodAccessorGenerator
 209:            10            560  sun.invoke.util.Wrapper
 210:             4            544  [D
 211:            17            544  java.io.FilePermission
 212:            17            544  java.security.Permissions
 213:             4            536  [Ljava.lang.invoke.MemberName;
 214:             1            528  [Ljava.lang.Character;
 215:            16            512  sun.reflect.ClassFileAssembler
 216:            21            504  java.lang.Class$1
 217:            21            504  java.lang.Class$AnnotationData
 218:            21            504  java.util.regex.Pattern$GroupHead
 219:            21            504  java.util.regex.Pattern$GroupTail
 220:            31            496  sun.misc.URLClassPath$JarLoader$1
 221:            31            496  sun.reflect.ConstantPool
 222:            15            480  java.security.BasicPermissionCollection
 223:            15            480  java.util.jar.Manifest$FastInputStream
 224:            15            480  java.util.stream.SortedOps$SizedRefSortingSink
 225:            20            480  sun.net.www.MessageHeader
 226:            29            464  java.util.concurrent.locks.ReentrantLock
 227:            11            440  [Ljava.util.Formatter$Flags;
 228:            11            440  java.io.FileDescriptor
 229:            11            440  java.util.Formatter$FormatSpecifier
 230:             1            432  [[[C
